chr	pos	pos2	p.value	test.s	con.s	test.s2	con.s2	test.mC	con.mC	test.mC2	con.mC2	test.post	con.post	test.post2	con.post2	meanDiff	DM.p	DM.status	index	meanCov.test	meanCov.control
chr1	752775	752778	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0.02	0:0:0:0	0:0:0.01:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0053	EM	EM	46	123.25	99.25
chr1	752778	752780	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0.01:0	0:0:0:0	0.01:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0016	EM	EM	47	123.25	99.25
chr1	752780	752782	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.01:0:0:0	0:0:0:0	0.02:0:0:0.02	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0026	EM	EM	48	123.25	99.25
chr1	752782	752789	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.02:0:0:0.02	0:0:0:0	0.02:0:0.01:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0104	EM	EM	49	123.25	99.25
chr1	752789	752794	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.02:0:0.01:0	0.01:0:0:0	0.01:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0072	EM	EM	50	119.25	98
chr1	752794	752796	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.01:0:0:0	0.01:0:0:0	0.01:0.02:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	7e-04	EM	EM	51	120.75	97
chr1	752796	752800	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.01:0.02:0:0	0:0:0:0	0:0:0:0	0.01:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0061	EM	EM	52	122	98.5
chr1	752800	NA	1	0:0:0:0	0:0:0:0	NA	NA	0:0:0:0	0.01:0:0:0	NA	NA	1:1:1:1	1:1:1:1	NA	NA	-0.0026	EM	EM	53	121	98.25
chr1	758123	NA	1	1:1:1:1	0.5:1:1:1	NA	NA	1:1:1:0.78	0.58:0.95:0.95:1	NA	NA	1:1:1:0.93	1:1:0.97:1	NA	NA	0.0736	EM	EM	54	21.75	18.25
chr1	783632	NA	1	0.5:0.5:0:1	0.5:0:0:0	NA	NA	0.24:0.39:0.23:0.93	0.38:0.08:0.07:0	NA	NA	0.93:1:0.8:0.97	1:0.97:1:1	NA	NA	0.3144	EM	EM	55	60.25	42
chr1	788948	788984	1	0.5:0.5:0:0.5	1:0.5:0:0	1:1:1:1	1:1:1:0.5	0.53:0.33:0.18:0.25	0.76:0.31:0.17:0.19	0.92:0.83:0.75:0.79	0.99:0.85:0.86:0.69	1:1:0.83:0.83	0.67:0.63:0.97:1	1:0.67:0.57:0.6	1:0.87:0.97:0.7	-0.0354	EM	EM	56	99	64.75
chr1	788984	NA	0.4857	1:1:1:1	1:1:1:0.5	NA	NA	0.92:0.83:0.75:0.79	0.99:0.85:0.86:0.69	NA	NA	1:0.67:0.57:0.6	1:0.87:0.97:0.7	NA	NA	-0.0241	EM	EM	57	97.5	65.25
chr1	795190	795201	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0.01	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.002	EM	EM	58	81.25	70.5
chr1	795201	795204	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.02:0:0:0.02	0:0.02:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	59	81.5	70.75
chr1	795204	795215	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.02:0:0:0.02	0:0.02:0:0	0.06:0:0.01:0.01	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0053	EM	EM	60	81.5	70.75
chr1	795215	795274	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.06:0:0.01:0.01	0:0:0:0	0.12:0:0.2:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0213	EM	EM	61	79.75	69.25
chr1	795274	795291	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.12:0:0.2:0	0:0:0:0	0.19:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0812	EM	EM	62	14.25	16.25
chr1	795291	795297	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.19:0:0:0	0:0:0:0	0.19:0:0:0.04	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0469	EM	EM	63	14.25	16.25
chr1	795297	795299	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.19:0:0:0.04	0:0:0:0	0.25:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0561	EM	EM	64	14.25	16.25
chr1	795299	795307	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.25:0:0:0	0:0:0:0	0.13:0:0:0.07	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0625	EM	EM	65	14	16
chr1	795307	795312	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.13:0:0:0.07	0:0:0:0	0.29:0.33:0:0.04	0:0:0:0	1:1:1:1	1:1:1:1	0.9:0.97:1:1	1:1:1:1	0.0518	EM	EM	66	14	16.25
chr1	795312	795330	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.29:0.33:0:0.04	0:0:0:0	0.13:0.02:0.02:0.02	0.03:0.02:0.01:0.03	0.9:0.97:1:1	1:1:1:1	0.9:1:1:1	1:1:1:1	0.1644	EM	EM	67	13.5	16
chr1	795330	795337	1	0:0:0:0	0:0:0:0	0.5:0:0:0	0:0:0:0	0.13:0.02:0.02:0.02	0.03:0.02:0.01:0.03	0.56:0.05:0:0.12	0:0:0.01:0	0.9:1:1:1	1:1:1:1	0.97:1:1:1	1:1:1:1	0.0255	EM	EM	68	70.75	71.5
chr1	795337	795340	0.4667	0.5:0:0:0	0:0:0:0	1:0:0:0	0:0:0:0	0.56:0.05:0:0.12	0:0:0.01:0	0.95:0.02:0:0.25	0:0:0.01:0	0.97:1:1:1	1:1:1:1	1:1:1:0.9	1:1:1:1	0.1785	EM	EM	69	71	71.5
chr1	795340	795342	0.4667	1:0:0:0	0:0:0:0	1:0:0:0	0:0:0:0	0.95:0.02:0:0.25	0:0:0.01:0	0.91:0.02:0.03:0.25	0:0.03:0.01:0	1:1:1:0.9	1:1:1:1	1:1:1:0.7	1:1:1:1	0.3025	EM	EM	70	71	71.5
chr1	795342	795347	0.2	1:0:0:0	0:0:0:0	1:0:0:0.5	0:0:0:0	0.91:0.02:0.03:0.25	0:0.03:0.01:0	0.95:0:0.05:0.35	0.03:0.02:0.02:0	1:1:1:0.7	1:1:1:1	1:1:1:0.73	1:1:1:1	0.2933	EM	EM	71	71	71.5
chr1	795347	795349	0.0769	1:0:0:0.5	0:0:0:0	1:0:0:0.5	0:0:0:0	0.95:0:0.05:0.35	0.03:0.02:0.02:0	0.89:0:0.07:0.24	0:0:0:0	1:1:1:0.73	1:1:1:1	1:1:1:0.77	1:1:1:1	0.3228	EM	EM	72	71	71.75
chr1	795349	795361	0.0256	1:0:0:0.5	0:0:0:0	1:0:1:0.5	0:0:0:0	0.89:0:0.07:0.24	0:0:0:0	0.76:0.02:0.7:0.51	0.1:0.03:0.01:0	1:1:1:0.77	1:1:1:1	0.8:1:0.77:1	1:1:1:1	0.2968	hyper	EM	73	71	71.75
chr1	795361	795363	0.0014	1:0:1:0.5	0:0:0:0	1:0.5:1:1	0:0:0:0	0.76:0.02:0.7:0.51	0.1:0.03:0.01:0	0.66:0.32:0.82:0.72	0.22:0.24:0.04:0	0.8:1:0.77:1	1:1:1:1	0.53:0.57:1:0.53	0.97:0.93:1:1	0.4652	hyper	hyper	74	69	70.25
chr1	795363	NA	0.1429	1:0.5:1:1	0:0:0:0	NA	NA	0.66:0.32:0.82:0.72	0.22:0.24:0.04:0	NA	NA	0.53:0.57:1:0.53	0.97:0.93:1:1	NA	NA	0.503	EM	EM	75	67.25	66.5
chr1	798985	798998	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:0.97:0.97:0.98	1:0.95:0.91:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0151	EM	EM	76	36.5	40
chr1	798998	799008	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:0.92:0.97:0.96	1:0.97:0.96:0.95	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	77	36.5	40.25
chr1	799008	799019	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:0.92:0.97:0.96	1:0.97:0.96:0.95	1:0.93:0.84:0.92	0.91:1:0.98:0.97	1:1:1:1	1:1:1:1	1:1:0.97:1	1:1:1:1	-0.0072	EM	EM	78	36.5	40.25
chr1	799019	799033	1	1:1:1:1	1:1:1:1	1:1:1:0.5	1:1:1:1	1:0.93:0.84:0.92	0.91:1:0.98:0.97	0.9:0.81:1:0.52	0.75:0.83:0.74:0.79	1:1:0.97:1	1:1:1:1	1:0.93:1:1	0.97:0.93:0.87:0.97	-0.0414	EM	EM	79	27.75	34.25
chr1	799033	NA	1	1:1:1:0.5	1:1:1:1	NA	NA	0.9:0.81:1:0.52	0.75:0.83:0.74:0.79	NA	NA	1:0.93:1:1	0.97:0.93:0.87:0.97	NA	NA	0.033	EM	EM	80	15.5	22
chr1	823669	NA	1	1:0.5:1:0.5	1:0.5:1:0.5	NA	NA	0.9:0.36:0.67:0.33	0.67:0.29:0.67:0.5	NA	NA	1:1:0.9:1	0.87:0.97:0.8:0.97	NA	NA	0.0361	EM	EM	81	16.5	9.5
chr1	828158	828165	1	1:1:1:1	1:1:1:1	1:0.5:1:1	1:1:1:1	0.97:0.87:0.98:0.97	0.93:1:0.99:0.88	0.99:0.58:0.97:0.97	0.95:1:0.99:0.88	1:0.6:1:1	1:0.97:1:1	1:0.67:1:1	1:1:1:1	0.001	EM	EM	82	104.5	62.75
chr1	828165	828171	1	1:0.5:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.99:0.58:0.97:0.97	0.95:1:0.99:0.88	0.95:0.96:0.98:0.95	0.98:0.92:1:1	1:0.67:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0774	EM	EM	83	105.25	63
chr1	828171	NA	1	1:1:1:1	1:1:1:1	NA	NA	0.95:0.96:0.98:0.95	0.98:0.92:1:1	NA	NA	1:1:1:1	1:1:1:1	NA	NA	-0.0139	EM	EM	84	105.25	63
chr1	829218	829260	0.6737	0.5:1:1:1	1:1:0.5:0.5	0:1:0:0	1:0.5:0:0	0.35:0.78:0.9:0.95	0.86:0.98:0.56:0.44	0.01:0.78:0.04:0.07	1:0.59:0.07:0.09	0.8:1:0.97:1	1:1:0.93:0.93	1:0.93:1:1	1:0.9:1:1	0.0332	EM	EM	85	86	67.25
chr1	829260	829263	0.6476	0:1:0:0	1:0.5:0:0	0:0.5:0:0	1:0.5:0:0	0.01:0.78:0.04:0.07	1:0.59:0.07:0.09	0.03:0.69:0.06:0.07	0.78:0.5:0.1:0.06	1:0.93:1:1	1:0.9:1:1	1:0.73:1:1	1:1:1:1	-0.2126	EM	EM	86	76.25	61
chr1	829263	829298	1	0:0.5:0:0	1:0.5:0:0	0.5:0.5:1:0	1:0.5:0:0.5	0.03:0.69:0.06:0.07	0.78:0.5:0.1:0.06	0.37:0.44:0.76:0.19	0.65:0.36:0.03:0.41	1:0.73:1:1	1:1:1:1	1:1:0.53:0.97	0.8:1:1:1	-0.1503	EM	EM	87	69	56.5
chr1	829298	829327	1	0.5:0.5:1:0	1:0.5:0:0.5	0.5:1:0.5:0.5	1:0.5:0.5:0.5	0.37:0.44:0.76:0.19	0.65:0.36:0.03:0.41	0.43:0.94:0.65:0.73	1:0.73:0.62:0.53	1:1:0.53:0.97	0.8:1:1:1	1:0.9:0.73:0.83	1:0.93:0.97:1	0.0775	EM	EM	88	40.75	24
chr1	829327	829379	1	0.5:1:0.5:0.5	1:0.5:0.5:0.5	0:0.5:0:0.5	0.5:0.5:0:0	0.43:0.94:0.65:0.73	1:0.73:0.62:0.53	0.03:0.5:0.13:0.35	0.41:0.53:0.06:0.17	1:0.9:0.73:0.83	1:0.93:0.97:1	1:1:1:0.9	0.93:1:1:1	-0.0347	EM	EM	89	41.25	24
chr1	829379	NA	1	0:0.5:0:0.5	0.5:0.5:0:0	NA	NA	0.03:0.5:0.13:0.35	0.41:0.53:0.06:0.17	NA	NA	1:1:1:0.9	0.93:1:1:1	NA	NA	-0.0415	EM	EM	90	128.5	94.25
chr1	829624	829641	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.05:0.12:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0444	EM	EM	91	8.5	13.5
chr1	829641	829643	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.05:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	92	8.5	13.5
chr1	829643	829659	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.05:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0132	EM	EM	93	8.5	13.5
chr1	829659	NA	1	0:0:0:0	0:0:0:0	NA	NA	0:0:0:0	0:0:0:0	NA	NA	1:1:1:1	1:1:1:1	NA	NA	0	EM	EM	94	4	8.75
chr1	830142	830156	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	95	10	8.5
chr1	830156	830158	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	96	9.25	8
chr1	830158	830166	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	97	9.25	8
chr1	830166	830237	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	98	9.25	8
