chr	pos	pos2	p.value	test.s	con.s	test.s2	con.s2	test.mC	con.mC	test.mC2	con.mC2	test.post	con.post	test.post2	con.post2	meanDiff	DM.p	DM.status	index	meanCov.test	meanCov.control
chr1	993162	993166	0.0056	1:0.5:1:0.5	0:0:0:1	1:0.5:1:0.5	0:0:0:1	0.91:0.6:0.98:0.67	0.04:0.29:0:0.96	0.9:0.63:0.97:0.67	0.04:0.25:0:0.87	1:1:1:0.9	1:0.57:1:1	1:0.97:1:0.93	1:0.7:1:1	0.4702	hyper	hyper	1251	101.75	80.75
chr1	993166	993178	0.0056	1:0.5:1:0.5	0:0:0:1	1:0.5:1:0.5	0:0:0:1	0.9:0.63:0.97:0.67	0.04:0.25:0:0.87	0.95:0.77:0.98:0.71	0.04:0.32:0:1	1:0.97:1:0.93	1:0.7:1:1	1:0.53:1:0.97	1:0.73:1:1	0.502	hyper	hyper	1252	101.75	80.75
chr1	993178	993180	0.0056	1:0.5:1:0.5	0:0:0:1	1:0.5:1:0.5	0:0:0:1	0.95:0.77:0.98:0.71	0.04:0.32:0:1	0.96:0.69:0.97:0.64	0.03:0.27:0:0.94	1:0.53:1:0.97	1:0.73:1:1	1:0.53:1:1	1:0.83:1:1	0.513	hyper	hyper	1253	100.75	79.25
chr1	993180	993186	0.0056	1:0.5:1:0.5	0:0:0:1	1:0.5:1:0.5	0:0:0:1	0.96:0.69:0.97:0.64	0.03:0.27:0:0.94	0.93:0.69:0.97:0.62	0.03:0.21:0:0.92	1:0.53:1:1	1:0.83:1:1	1:0.53:1:1	1:0.97:1:1	0.5042	hyper	hyper	1254	100.25	78.25
chr1	994812	994816	0.0256	0.5:0.5:0.5:0	0:0:0:0	0.5:0:0.5:0	0:0:0:0	0.76:0.5:0.58:0.08	0:0:0:0	0.33:0:0.5:0	0.02:0.03:0:0	0.8:0.9:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.4821	hyper	hyper	1273	15.25	30.25
chr1	995053	995062	0.0256	1:0.5:1:1	0:0:0:0	0:0:0.5:0	0:0:0:0	1:0.74:0.95:0.86	0.16:0.4:0.23:0.24	0.05:0.09:0.43:0.2	0.04:0.06:0:0.03	1:0.6:0.9:0.9	1:0.87:1:1	1:1:0.97:0.97	1:1:1:1	0.6325	hyper	hyper	1277	70.5	53.75
chr1	997296	997300	0.0256	1:1:1:1	1:0.5:0:0.5	1:1:1:1	1:0.5:0:1	1:1:0.91:0.91	1:0.43:0.04:0.5	1:0.69:0.91:0.96	0.67:0.71:0.09:0.83	1:1:1:1	1:1:1:0.93	1:0.53:1:1	0.83:0.9:1:0.93	0.4625	hyper	hyper	1292	12.25	11.25
chr1	997470	997479	0.0256	1:1:1:1	1:0.5:0:1	1:1:1:1	0.5:0.5:0:1	1:1:1:1	0.75:0.71:0:1	1:1:1:0.86	0.5:0.33:0.06:0.92	1:1:1:1	0.87:0.63:1:1	1:1:1:1	1:0.93:1:0.97	0.3839	hyper	hyper	1303	2.75	5
chr1	997479	997482	0.0101	1:1:1:1	0.5:0.5:0:1	1:1:0.5:1	0:0.5:0:0.5	1:1:1:0.86	0.5:0.33:0.06:0.92	1:0.8:0.5:0.85	0:0.14:0.04:0.33	1:1:1:1	1:0.93:1:0.97	1:1:0.93:1	0.97:0.77:1:1	0.5109	hyper	hyper	1304	8.25	25
chr1	997482	997486	0.0101	1:1:0.5:1	0:0.5:0:0.5	1:1:1:1	1:0.5:0:0.5	1:0.8:0.5:0.85	0:0.14:0.04:0.33	0.8:0.8:1:1	1:0.43:0.07:0.5	1:1:0.93:1	0.97:0.77:1:1	1:1:1:1	1:1:1:1	0.6572	hyper	hyper	1305	8	23.5
chr1	997486	997491	0.007	1:1:1:1	1:0.5:0:0.5	1:1:1:1	1:0.5:0:0.5	0.8:0.8:1:1	1:0.43:0.07:0.5	1:0.8:1:0.95	1:0.5:0.1:0.58	1:1:1:1	1:1:1:1	1:0.87:1:1	1:1:1:1	0.3992	hyper	hyper	1306	8	23.5
chr1	997716	997720	0.0188	1:1:0.5:1	0.5:0.5:0:0.5	1:0.5:0.5:1	0.5:0.5:0:0	0.88:0.88:0.53:1	0.71:0.33:0.09:0.5	1:0.5:0.47:0.89	0.29:0.27:0.09:0	1:0.8:1:1	0.5:0.93:1:1	1:0.9:1:0.97	1:0.77:1:1	0.4133	hyper	hyper	1309	17.25	14.75
chr1	997720	997741	0.0068	1:0.5:0.5:1	0.5:0.5:0:0	1:1:0.5:1	0.5:0.5:0:0	1:0.5:0.47:0.89	0.29:0.27:0.09:0	0.81:1:0.29:0.89	0.31:0.2:0.13:0.25	1:0.9:1:0.97	1:0.77:1:1	1:1:1:1	1:0.83:1:0.53	0.5539	hyper	hyper	1310	17.25	14.75
chr1	997741	997760	0.0014	1:1:0.5:1	0.5:0.5:0:0	1:1:1:1	0.5:0.5:0:0.5	0.81:1:0.29:0.89	0.31:0.2:0.13:0.25	0.89:0.87:0.9:0.95	0.65:0.44:0.2:0.64	1:1:1:1	1:0.83:1:0.53	1:1:0.97:1	1:1:1:0.97	0.5256	hyper	hyper	1311	17	14.5
chr1	997760	997763	2e-04	1:1:1:1	0.5:0.5:0:0.5	1:1:1:1	0.5:0.5:0:0.5	0.89:0.87:0.9:0.95	0.65:0.44:0.2:0.64	0.98:0.77:0.97:0.97	0.66:0.45:0.21:0.4	1:1:0.97:1	1:1:1:0.97	1:1:1:1	1:1:1:1	0.42	hyper	hyper	1312	136.75	67.5
chr1	997763	997780	2e-04	1:1:1:1	0.5:0.5:0:0.5	1:1:1:1	0.5:0.5:0:0	0.98:0.77:0.97:0.97	0.66:0.45:0.21:0.4	0.88:0.71:0.88:0.88	0.56:0.29:0.21:0.2	1:1:1:1	1:1:1:1	1:0.9:1:1	1:1:1:0.57	0.4917	hyper	hyper	1313	129	60.75
chr1	997780	997804	2e-04	1:1:1:1	0.5:0.5:0:0	1:1:1:1	0.5:0.5:0:0	0.88:0.71:0.88:0.88	0.56:0.29:0.21:0.2	0.98:0.89:0.79:0.93	0.52:0.41:0.2:0.32	1:0.9:1:1	1:1:1:0.57	1:0.97:1:1	1:1:0.97:0.63	0.5204	hyper	hyper	1314	129.25	60.75
chr1	997804	NA	0.0286	1:1:1:1	0.5:0.5:0:0	NA	NA	0.98:0.89:0.79:0.93	0.52:0.41:0.2:0.32	NA	NA	1:0.97:1:1	1:1:0.97:0.63	NA	NA	0.534	hyper	hyper	1315	70.75	40.25
chr1	997954	997982	0.0079	1:1:1:1	0.5:0:0:0	0.5:1:0:1	0.5:0:0:0	1:1:1:0.92	0.2:0:0.33:0	0.5:1:0:0.85	0.4:0.2:0.33:0	1:1:1:1	0.7:1:0.7:1	1:1:1:1	0.73:1:0.67:1	0.8474	hyper	hyper	1316	4.5	4
chr1	997982	998057	0.0101	0.5:1:0:1	0.5:0:0:0	0.5:0.5:1:1	0:0:0:0	0.5:1:0:0.85	0.4:0.2:0.33:0	0.59:0.64:0.95:0.9	0.03:0.14:0.21:0	1:1:1:1	0.73:1:0.67:1	1:0.97:1:0.97	1:1:0.93:1	0.3532	hyper	hyper	1317	4.5	4
chr1	998057	998070	2e-04	0.5:0.5:1:1	0:0:0:0	0.5:0.5:0.5:0.5	0:0:0:0	0.59:0.64:0.95:0.9	0.03:0.14:0.21:0	0.21:0.16:0.53:0.51	0:0.05:0.09:0	1:0.97:1:0.97	1:1:0.93:1	0.97:0.9:1:0.9	1:1:1:1	0.6742	hyper	hyper	1318	100.25	58.25
chr1	998070	998094	2e-04	0.5:0.5:0.5:0.5	0:0:0:0	0.5:0.5:0.5:1	0:0:0:0	0.21:0.16:0.53:0.51	0:0.05:0.09:0	0.74:0.53:0.68:0.87	0.28:0.28:0.26:0.04	0.97:0.9:1:0.9	1:1:1:1	0.97:1:1:1	1:0.93:1:1	0.3182	hyper	hyper	1319	100.25	58.75
chr1	998094	998098	2e-04	0.5:0.5:0.5:1	0:0:0:0	0.5:0.5:0.5:1	0:0:0:0	0.74:0.53:0.68:0.87	0.28:0.28:0.26:0.04	0.64:0.35:0.69:0.71	0.03:0.21:0.2:0	0.97:1:1:1	1:0.93:1:1	1:0.83:0.97:0.8	1:1:1:1	0.4871	hyper	hyper	1320	81.25	43.25
chr1	998098	NA	0.0286	0.5:0.5:0.5:1	0:0:0:0	NA	NA	0.64:0.35:0.69:0.71	0.03:0.21:0.2:0	NA	NA	1:0.83:0.97:0.8	1:1:1:1	NA	NA	0.4898	hyper	hyper	1321	74.25	41
chr1	1048422	1048448	0.0373	1:0.5:1:0.5	1:0:0:0	1:0.5:1:1	1:0:0:0.5	1:0.67:1:0.53	1:0.2:0.25:0	0.75:0.25:0.67:0.95	0.67:0.4:0.25:0.5	1:0.97:1:0.97	1:0.93:0.9:1	0.97:0.93:0.87:1	0.83:0.67:0.7:1	0.4358	hyper	hyper	1567	7	3.5
chr1	1048497	1048501	0.0056	1:0.5:1:1	0:0:0.5:0.5	1:0.5:1:1	0:0:0.5:0.5	1:0.33:1:0.87	0:0.05:0.42:0.4	0.8:0.67:0.67:0.8	0.25:0.37:0.42:0.4	1:1:1:1	1:1:1:1	1:0.97:0.53:1	1:0.67:1:0.93	0.5816	hyper	hyper	1570	8.75	11.75
chr1	1048501	1048521	0.0287	1:0.5:1:1	0:0:0.5:0.5	1:0:0.5:1	0:0:0.5:0	0.8:0.67:0.67:0.8	0.25:0.37:0.42:0.4	0.8:0:0.75:0.67	0:0:0.26:0	1:0.97:0.53:1	1:0.67:1:0.93	1:0.9:0.57:0.83	1:1:1:1	0.3735	hyper	hyper	1571	8.75	11.75
chr1	1050334	1050355	6e-04	1:1:0.5:1	0:0:0.5:0	1:1:1:1	0.5:0:0.5:0	0.97:0.85:0.41:0.81	0.22:0:0.35:0.08	0.97:0.85:0.98:0.91	0.43:0.01:0.47:0.23	1:1:1:1	0.8:1:1:1	1:1:1:1	1:1:1:0.77	0.5986	hyper	hyper	1573	69.5	57.25
chr1	1050355	1050367	2e-04	1:1:1:1	0.5:0:0.5:0	1:1:1:1	0.5:0:0.5:0.5	0.97:0.85:0.98:0.91	0.43:0.01:0.47:0.23	1:0.94:0.98:0.96	0.59:0.02:0.69:0.38	1:1:1:1	1:1:1:0.77	1:1:1:1	1:1:0.97:1	0.6437	hyper	hyper	1574	71.5	58
chr1	1050367	1050374	0.0025	1:1:1:1	0.5:0:0.5:0.5	1:0.5:1:1	0.5:0:0.5:0.5	1:0.94:0.98:0.96	0.59:0.02:0.69:0.38	0.71:0.47:0.89:0.73	0.33:0.02:0.42:0.38	1:1:1:1	1:1:0.97:1	0.6:1:1:0.97	1:1:1:1	0.5495	hyper	hyper	1575	68	57
chr1	1050374	NA	0.0286	1:0.5:1:1	0.5:0:0.5:0.5	NA	NA	0.71:0.47:0.89:0.73	0.33:0.02:0.42:0.38	NA	NA	0.6:1:1:0.97	1:1:1:1	NA	NA	0.4116	hyper	hyper	1576	59.25	54
chr1	1058351	1058365	0.0256	1:1:1:1	0:0.5:1:0.5	1:1:1:1	0.5:0.5:1:1	0.99:0.93:0.96:0.85	0.27:0.4:0.82:0.69	0.97:0.91:0.93:0.85	0.54:0.65:0.91:0.95	1:1:1:1	0.6:1:0.97:0.6	1:1:1:1	1:0.9:1:1	0.3862	hyper	hyper	1597	94.5	71.75
chr1	1061913	1061918	0.0014	0.5:0.5:0.5:0	0:0:0:0	0.5:0.5:0.5:0.5	0:0:0:0	0.33:0.56:0.4:0.21	0:0:0:0	0.5:0.43:0.4:0.28	0:0:0.08:0	1:1:1:0.93	1:1:1:1	1:1:1:0.63	1:1:1:1	0.3752	hyper	hyper	1604	13.25	12
chr1	1061918	1061937	2e-04	0.5:0.5:0.5:0.5	0:0:0:0	1:1:0.5:0.5	0:0:0:0	0.5:0.43:0.4:0.28	0:0:0.08:0	1:0.8:0.25:0.48	0:0:0.04:0	1:1:1:0.63	1:1:1:1	1:0.97:1:1	1:1:1:1	0.3824	hyper	hyper	1605	12	11.25
chr1	1061937	1061991	0.0014	1:1:0.5:0.5	0:0:0:0	0:1:0.5:0.5	0:0:0:0	1:0.8:0.25:0.48	0:0:0.04:0	0:1:0.5:0.5	0:0:0:0	1:0.97:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.622	hyper	hyper	1606	9.75	10
chr1	1061991	1062006	0.0014	0:1:0.5:0.5	0:0:0:0	1:1:0.5:0.5	0:0:0:0	0:1:0.5:0.5	0:0:0:0	1:1:0.5:0.2	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:0.93	1:1:1:1	0.5	hyper	hyper	1607	2	4
chr1	1062332	1062341	0.007	1:0.5:0:0.5	0:0:0:0	1:0.5:0:0.5	0:0:0:0	1:0.31:0.06:0.4	0:0.09:0.03:0	0.96:0.28:0.09:0.43	0:0.15:0.02:0.05	1:1:1:1	1:1:1:1	1:0.97:1:1	1:1:1:1	0.4087	hyper	hyper	1609	40	65.5
chr1	1062341	1062348	0.0014	1:0.5:0:0.5	0:0:0:0	1:0.5:0.5:0.5	0:0:0:0	0.96:0.28:0.09:0.43	0:0.15:0.02:0.05	0.96:0.69:0.52:0.68	0:0.19:0.15:0	1:0.97:1:1	1:1:1:1	1:0.9:0.93:0.97	1:1:1:1	0.3876	hyper	hyper	1610	40.25	65.5
chr1	1062348	1062357	2e-04	1:0.5:0.5:0.5	0:0:0:0	1:0.5:0.5:0.5	0:0:0:0	0.96:0.69:0.52:0.68	0:0.19:0.15:0	1:0.69:0.25:0.52	0:0.21:0.01:0	1:0.9:0.93:0.97	1:1:1:1	1:0.83:0.8:1	1:0.93:1:1	0.6286	hyper	hyper	1611	40.25	65.5
chr1	1062357	1062359	2e-04	1:0.5:0.5:0.5	0:0:0:0	1:0.5:0.5:0.5	0:0:0:0	1:0.69:0.25:0.52	0:0.21:0.01:0	1:0.75:0.36:0.51	0:0.23:0.03:0	1:0.83:0.8:1	1:0.93:1:1	1:0.83:0.8:1	1:0.97:1:1	0.5604	hyper	hyper	1612	40	65
chr1	1062359	1062371	0.0014	1:0.5:0.5:0.5	0:0:0:0	1:0.5:0:0.5	0:0:0:0	1:0.75:0.36:0.51	0:0.23:0.03:0	1:0.38:0.21:0.42	0.02:0.06:0.04:0	1:0.83:0.8:1	1:0.97:1:1	1:1:0.9:1	1:1:1:1	0.5916	hyper	hyper	1613	39.75	65
chr1	1062371	1062377	0.0256	1:0.5:0:0.5	0:0:0:0	1:0:0:0.5	0:0:0:0	1:0.38:0.21:0.42	0.02:0.06:0.04:0	1:0.23:0.02:0.32	0:0.12:0:0	1:1:0.9:1	1:1:1:1	1:0.7:1:1	1:1:1:1	0.4752	hyper	hyper	1614	17.75	52
chr1	1063404	1063424	0.0242	1:1:1:1	0:0:0.5:0	1:0.5:0.5:1	1:0.5:0.5:0	0.95:0.86:0.98:0.83	0.13:0.2:0.36:0.36	0.78:0.18:0.51:0.77	0.77:0.68:0.19:0.12	1:0.87:1:1	0.93:0.97:0.63:0.9	1:0.87:0.9:1	0.9:0.57:0.63:1	0.6428	hyper	hyper	1636	62.75	38.75
chr1	1088401	1088421	0.007	1:0.5:0.5:0	0:0:0:0	1:0.5:1:0	0:0:0:0	0.97:0.22:0.42:0.01	0.1:0.06:0:0	1:0.78:0.95:0.01	0.19:0.13:0:0	1:1:1:1	1:1:1:1	1:0.77:1:1	1:1:1:1	0.3668	hyper	hyper	1752	55.75	46.5
chr1	1088421	1088436	0.007	1:0.5:1:0	0:0:0:0	1:0.5:1:0	0:0:0:0	1:0.78:0.95:0.01	0.19:0.13:0:0	0.96:0.4:0.71:0.01	0.11:0.05:0:0	1:0.77:1:1	1:1:1:1	1:1:0.97:1	1:1:1:1	0.6034	hyper	hyper	1753	56.25	46.5
chr1	1088436	1088441	0.007	1:0.5:1:0	0:0:0:0	1:1:1:0	0:0:0:0	0.96:0.4:0.71:0.01	0.11:0.05:0:0	1:0.84:0.93:0.04	0.25:0.14:0:0	1:1:0.97:1	1:1:1:1	1:0.83:1:1	1:1:1:1	0.4796	hyper	hyper	1754	50.5	37.25
chr1	1088650	1088675	0.007	1:1:1:0	0:0:0:0	1:1:1:0	0:0:0:0	1:0.75:0.85:0	0.1:0.21:0:0	1:0.67:1:0	0.11:0.17:0:0	1:0.8:1:1	1:1:1:1	1:0.8:1:1	1:1:1:1	0.5706	hyper	hyper	1756	20.5	20.5
chr1	1088986	1088992	0.007	1:1:1:0	0:0:0:0	1:1:1:0	0:0:0:0	0.97:0.86:0.98:0	0.15:0.27:0.04:0	0.97:0.86:0.98:0	0.14:0.24:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.5921	hyper	hyper	1758	108	64.75
chr1	1088992	1089002	0.007	1:1:1:0	0:0:0:0	1:1:1:0	0:0:0:0	0.97:0.86:0.98:0	0.14:0.24:0:0	0.97:0.84:0.94:0	0.14:0.27:0:0	1:1:1:1	1:1:1:1	1:0.97:1:1	1:1:1:1	0.609	hyper	hyper	1759	108.75	65
chr1	1089002	1089004	0.007	1:1:1:0	0:0:0:0	1:1:1:0	0:0:0:0	0.97:0.84:0.94:0	0.14:0.27:0:0	0.93:0.86:0.92:0	0.14:0.27:0:0	1:0.97:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.5849	hyper	hyper	1760	108.75	65
chr1	1089004	1089029	0.007	1:1:1:0	0:0:0:0	1:1:1:0	0:0:0:0	0.93:0.86:0.92:0	0.14:0.27:0:0	0.95:0.85:0.9:0	0.15:0.25:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.576	hyper	hyper	1761	108.75	65
chr1	1089029	1089070	0.007	1:1:1:0	0:0:0:0	1:1:1:0	0:0:0:0	0.95:0.85:0.9:0	0.15:0.25:0:0	0.82:1:0.93:0	0:0.21:0:0	1:1:1:1	1:1:1:1	0.97:1:1:1	1:1:1:1	0.576	hyper	hyper	1762	98.25	61.75
